time_ms,thr,roll_sp,roll_gyro,roll_P,roll_I,roll_D,pitch_sp,pitch_gyro,pitch_P,pitch_I,pitch_D,yaw_sp,yaw_gyro,yaw_P,yaw_I,yaw_D
3218,1000,0.00,-21.59,0.000,0.000,0.000,0.00,-12.76,0.000,0.000,0.000,0.00,19.25,0.000,0.000,0.000
3238,1000,0.00,-18.14,0.000,0.000,0.000,0.00,-12.19,0.000,0.000,0.000,0.00,18.25,0.000,0.000,0.000
3258,1000,0.00,-13.49,0.000,0.000,0.000,0.00,-11.31,0.000,0.000,0.000,0.00,17.92,0.000,0.000,0.000
3278,1000,0.00,-7.39,0.000,0.000,0.000,0.00,-11.23,0.000,0.000,0.000,0.00,17.90,0.000,0.000,0.000
3298,1000,0.00,0.19,0.000,0.000,0.000,0.00,-12.79,0.000,0.000,0.000,0.00,17.26,0.000,0.000,0.000
3318,1000,0.00,8.55,0.000,0.000,0.000,0.00,-16.26,0.000,0.000,0.000,0.00,15.74,0.000,0.000,0.000
3338,1000,0.00,16.35,0.000,0.000,0.000,0.00,-21.42,0.000,0.000,0.000,0.00,13.90,0.000,0.000,0.000
3358,1000,0.00,22.51,0.000,0.000,0.000,0.00,-27.55,0.000,0.000,0.000,0.00,12.15,0.000,0.000,0.000
3378,1000,0.00,28.34,0.000,0.000,0.000,0.00,-34.01,0.000,0.000,0.000,0.00,10.21,0.000,0.000,0.000
3398,1000,0.00,35.51,0.000,0.000,0.000,0.00,-39.19,0.000,0.000,0.000,0.00,8.44,0.000,0.000,0.000
3434,1000,0.00,47.24,0.000,0.000,0.000,0.00,-43.02,0.000,0.000,0.000,0.00,6.22,0.000,0.000,0.000
3438,1000,0.00,48.51,0.000,0.000,0.000,0.00,-43.19,0.000,0.000,0.000,0.00,6.00,0.000,0.000,0.000
3458,1000,0.00,53.21,0.000,0.000,0.000,0.00,-43.14,0.000,0.000,0.000,0.00,4.68,0.000,0.000,0.000
3478,1000,0.00,57.86,0.000,0.000,0.000,0.00,-42.62,0.000,0.000,0.000,0.00,2.36,0.000,0.000,0.000
3498,1000,0.00,61.22,0.000,0.000,0.000,0.00,-41.69,0.000,0.000,0.000,0.00,-0.86,0.000,0.000,0.000
